,glottocode,name,region,AES,EGIDS,L1_pop,L1_pop_prop,documentation,area
1062,lowe1427,Lower Chehalis,Northern America,extinct,9,0,0.0,basic,4413.544371
1063,cebu1242,Cebuano,South-Eastern Asia,not endangered,3,15800000,34379.1034,detailed,32488.51866
1064,cham1315,Chamacoco,South America,shifting,6b,1600,8991.504511,basic,7614.220079
1065,cenn1238,Cen,Western Africa,not endangered,6a,50000,171.4751193,little or none,205.6906083
1066,czec1258,Czech,Europe,not endangered,1,10411000,104928.2617,detailed,77514.86179
1067,cent2045,Jalaa,Western Africa,nearly extinct,8a,200,1.131889832,little or none,1.998784367
1068,diji1241,Dijim-Bwilim,Western Africa,not endangered,5,25000,143.3076433,little or none,694.7200945
1069,cara1270,Cara,Western Africa,shifting,7,3000,11.29130899,little or none,37.1659336
1070,como1258,Como Karim,Western Africa,not endangered,6a,11400,244.0932924,little or none,1528.9132
1071,fala1243,Falam Chin,Southern Asia,threatened,5,107300,2750.943843,basic,2477.752429
1072,chan1319,Changriwa,Oceania,shifting,6a,690,69.16360424,little or none,37.16004576
1073,kaga1256,Kagayanen,South-Eastern Asia,not endangered,4,30000,389.2556266,basic,451.7329901
1074,chig1238,Chiga,Africa,not endangered,4,1580000,5208.560797,detailed,9280.382222
1075,choc1275,Chocangacakha,Southern Asia,threatened,6a,30000,1617.691895,basic,449.0225743
1076,cham1312,Chamorro,Northern America,threatened,1,94700,671.3384808,detailed,5688.977864
1077,cata1286,Catawba,Northern America,extinct,9,500,5.405664372,basic,96956.49805
1078,high1242,Highland Oaxaca Chontal,Central America,shifting,6b,2420,173.4739305,detailed,1933.11233
1079,chec1245,Chechen,Arab,threatened,2,1353000,238827.958,detailed,51662.5555
1080,taba1266,Tabasco Chontal,Central America,threatened,6a,36500,194.4012084,detailed,4566.359356
1081,chag1247,Chagatai,Asia,extinct,10,0,0.0,detailed,92910.20648
1082,chin1286,Clatsop-Shoalwater Chinook,Northern America,nearly extinct,8b,19,26.87517764,basic,18561.57335
1083,ojit1237,Ojitlán Chinantec,Central America,threatened,5,37900,476.5088032,basic,349.9539269
1084,chuu1238,Chuukese,Oceania,not endangered,2,45900,,basic,87.61325257
1085,cahu1264,Cahuilla,Northern America,nearly extinct,8a,35,0.205979819,detailed,119.3270874
1086,chin1272,Creolized Grand Ronde Chinook Jargon,Northern America,nearly extinct,8b,723,27.095035,basic,10149.53874
1087,choc1276,Choctaw,Northern America,threatened,6b,10400,1449.682425,detailed,639.4628335
